"","ResultMeasure2","STRAHLER2","DrainageAreaMeasure_MeasureValue","HUCEightDigitCode","date","ResultSampleFractionText","PFOR2","PWETL2","PURB2","PAGT2","LatitudeMeasure","LongitudeMeasure","MonitoringLocationIdentifier"
"1174",0.011,2,25.6,14010001,"2006-02-22T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1175",0,2,25.6,14010001,"2006-03-21T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1176",0.053,2,25.6,14010001,"2006-03-21T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1177",0.023,2,270,14010001,"2008-05-20T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1178",0.005,2,270,14010001,"2008-05-20T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1179",0.013,2,270,14010001,"2008-07-15T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1180",0.008,2,270,14010001,"2008-07-15T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1181",0.008,2,270,14010001,"2008-12-03T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1182",0.006,2,270,14010001,"2008-12-03T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1183",0.013,2,270,14010001,"2012-08-22T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1184",0.005,2,270,14010001,"2012-08-22T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1185",0.005,2,270,14010001,"2008-11-06T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1186",0.009,2,270,14010001,"2008-11-06T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1187",0.011,2,270,14010001,"2008-04-21T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1188",0.004,2,270,14010001,"2008-04-21T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
